car_brand,car_model,mileage_km,engine_size_cc,transmission,fuel_type,steering_type,drive_train,no_of_seats,no_of_doors,body_type,Power Steering,Air Conditioner,Navigation,Air Bag,Anti-Lock Brake System,Fog Lights,Power Windows,Alloy Wheels,year,price(Ksh)
TOYOTA,AQUA,6000.0,1490.0,Automatic Transmission,Hybrid,RHD,4WD,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2022,3183155.0
MERCEDES,E CLASS,38000.0,1950.0,Automatic Transmission,Diesel,LHD,2WD,4 Seats,2 Doors,coupe,1,1,0,1,0,0,1,1,2017,5173020.0
TOYOTA,LAND CRUISER AX 4WD,34000.0,4300.0,Automatic Transmission,Petrol,RHD,4WD,8 Seats,5 Doors,suv,1,0,0,1,0,1,1,1,2017,4883891.0
GENESIS,GV80,10000.0,3470.0,Automatic Transmission,Petrol,LHD,4WD,8 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2022,4883891.0
HONDA,CIVIC,24000.0,1500.0,Manual Transmission,Petrol,RHD,2WD,5 Seats,5 Doors,hatchback,0,1,0,1,0,0,0,1,2021,3268736.0
LEXUS,GS F,28000.0,4300.0,Automatic Transmission,Petrol,RHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2016,6669064.0
BMW,M4,34000.0,3000.0,Automatic Transmission,Petrol,RHD,Other,4 Seats,2 Doors,coupe,1,1,0,1,0,0,1,1,2017,6336739.0
TOYOTA,PRIUS,24000.0,1800.0,Automatic Transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2021,3122855.0
NISSAN,AURA,1000.0,1200.0,Automatic Transmission,Petrol,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2023,6248223.0
TOYOTA,FORTUNER 2.4 V,64000.0,2400.0,Automatic Transmission,Diesel,RHD,Other,7 Seats,5 Doors,suv,1,1,0,1,0,1,1,1,2020,5701759.0
BMW,X5,7000.0,3000.0,Automatic Transmission,Hybrid,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2021,9548994.0
Abarth,595,34000.0,1400.0,Automatic Transmission,Petrol,RHD,Other,4 Seats,3 Doors,hatchback,1,1,0,1,0,0,1,1,2021,2526455.0
HONDA,FIT,7000.0,1300.0,Automatic Transmission,Petrol,RHD,4WD,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,0,2022,2377434.0
